route,record_type,record_id,field,rules,substitutions,length_delta,produced,topic,topic_keyword_before,topic_keyword_after
plugin,INFO,2672066491848416296,text,R280 R500,3,-4,225,daedroth,1,1
plugin,INFO,2815193931564914555,text,R140,1,-2,356,Bal Fell,2,2
plugin,INFO,1131515014464226706,text,R110,1,-2,507,Kogoruhn,2,2
plugin,INFO,19710277652701625257,text,R100,1,-2,127,J'Saddha,0,0
plugin,INFO,23066325801462131675,text,R300,1,0,384,Daedric,2,1
plugin,INFO,175141918339729660,text,R300 R500,2,-1,365,Daedric,2,1
plugin,INFO,26368164150011690,text,R300,1,0,335,war axe,4,4
plugin,INFO,548311412319123281,text,R500,2,-2,154,dremora,1,1
plugin,INFO,31534296631286115283,text,R500,2,-2,154,dremora,1,1
plugin,INFO,212118874212127267,text,R300,1,0,379,Prelude,0,0
plugin,INFO,24775283151789129157,text,R100,1,-2,136,Orders,0,0
plugin,INFO,95330752928320992,text,R500,1,-1,48,chores,0,0
plugin,INFO,15521218342647910935,text,R500,1,-1,80,riddle,1,1
plugin,INFO,129027474885622520,text,R500,1,-1,186,riddle,0,0
plugin,INFO,345773992093114460,text,R300,1,0,369,dagger,3,3
plugin,INFO,19445557144421072,text,R500,2,-2,121,hunger,1,1
plugin,INFO,1580515103409018566,text,R500,2,-2,121,hunger,1,1
plugin,INFO,27026660941786938,text,R500,1,-1,315,Scamp,0,0
plugin,INFO,241713053353833325,text,R500,3,-3,199,ogrim,2,2
plugin,INFO,226336763353019227,text,R500,3,-3,199,ogrim,2,2
plugin,INFO,3269812507128722743,text,R100,1,-2,362,Khuul,4,4
plugin,INFO,27490147102083214873,text,R300,1,0,207,mace,2,2
plugin,INFO,1265690951491529886,text,R100,1,-2,253,Shal,1,1
plugin,WEAP,daedric dagger_bar,name,R300,1,0,14,,0,0
lua,BOOK,bk_Artifacts_Tamriel,text,R210 R230 R300 R500,8,-5,16117,,0,0
plugin,INFO,230879835320426665,text,R500,1,-1,467,discontent in the Temple,0,0
plugin,INFO,9670272931397023662,text,R500,2,-2,379,making ourselves ready,0,0
plugin,INFO,777060658815161,text,R500,1,-1,502,reorganize the Temple,0,0
plugin,INFO,30678111231429010357,text,R200 R500,2,-3,418,Boots of the Apostle,0,0
plugin,INFO,5495238071015227583,text,R500,1,-1,470,reclaim your station,0,0
plugin,INFO,279916338606412388,text,R300,1,0,291,the Cleansing,0,0
plugin,INFO,18487327421804021090,text,R500,1,-1,450,great horror,0,0
plugin,INFO,2978479209707870,text,R100,1,-2,504,Myn Dhrur,0,0
plugin,INFO,2218610984558912743,text,R300 R500,2,-1,412,beliefs,0,0
plugin,INFO,1427024818124768213,text,R300,1,0,254,Favor,0,0
plugin,INFO,1077923272908815004,text,R300,1,0,305,Favor,0,0
plugin,INFO,26515240481753828440,text,R300,1,0,335,Favor,0,0
lua,BOOK,sc_witchnote,text,R300,1,0,1226,,0,0
plugin,INFO,14818108112663526616,text,R500,1,-1,71,destroy my people,0,0
plugin,INFO,1484314981653727885,text,R500,1,-1,317,destroy my people,0,0
plugin,INFO,3023911526304823908,text,R500,1,-1,36,greater purpose,0,0
plugin,INFO,766932545279449832,text,R500,1,-1,110,was cast out,1,1
plugin,INFO,8532312101388421878,text,R500,1,-1,227,was cast out,0,0
plugin,INFO,1984363691010128667,text,R500,1,-1,352,must act,0,0
plugin,BOOK,bk_AedraAndDaedra,text,HAND-WRITTEN,0,1227,2304,,0,0
plugin,BOOK,bk_Aedra_Tarer_Unique,text,HAND-WRITTEN,0,1445,2522,,0,0
plugin,INFO,19139287163203512660,text,HAND-WRITTEN,0,157,514,,0,0
plugin,INFO,21911249873129121827,text,HAND-WRITTEN,0,260,615,,0,0
plugin,INFO,190453052515814369,text,HAND-WRITTEN,0,169,589,,0,0
plugin,INFO,1715821388983222209,text,HAND-WRITTEN,0,1432,1923,,0,0
plugin,INFO,23639108742988324234,text,HAND-WRITTEN,0,404,802,,0,0
